이름,추천수,별점수,총화수,요일,1화링크,상세페이지 URL,장르모음,웹툰보는곳
악녀는 두 번 산다,482,4.5,163,월요일,https://newtoki307.com/webtoon/2252256?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/2252251/%EC%95%85%EB%85%80%EB%8A%94-%EB%91%90-%EB%B2%88-%EC%82%B0%EB%8B%A4?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스,한국","카카오페이지,나무위키"
불멸의 투귀,34,3.5,79,월요일,https://newtoki307.com/webtoon/20838540?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/20838090/%EB%B6%88%EB%A9%B8%EC%9D%98-%ED%88%AC%EA%B7%80?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션","카카오페이지,나무위키"
칼가는 소녀,32,4.5,159,월요일,https://newtoki307.com/webtoon/272392?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/272377/%EC%B9%BC%EA%B0%80%EB%8A%94-%EC%86%8C%EB%85%80?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"드라마,한국","나무위키,네이버웹툰"
천재 타자가 강속구를 숨김,67,3.5,25,월요일,https://newtoki307.com/webtoon/27454158?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/27453879/%EC%B2%9C%EC%9E%AC-%ED%83%80%EC%9E%90%EA%B0%80-%EA%B0%95%EC%86%8D%EA%B5%AC%EB%A5%BC-%EC%88%A8%EA%B9%80?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"로맨스,드라마","네이버웹툰,나무위키"
리턴 투 플레이어,293,4.5,135,월요일,https://newtoki307.com/webtoon/9989420?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/9986923/%EB%A6%AC%ED%84%B4-%ED%88%AC-%ED%94%8C%EB%A0%88%EC%9D%B4%EC%96%B4?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션,한국","네이버웹툰,나무위키,WEBTOONGUIDE"
잔불의 기사,169,3.5,132,월요일,https://newtoki307.com/webtoon/14758162?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/14756833/%EC%9E%94%EB%B6%88%EC%9D%98-%EA%B8%B0%EC%82%AC?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션,한국","네이버웹툰,나무위키"
만렙돌파,198,2.5,109,월요일,https://newtoki307.com/webtoon/9714744?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/9713552/%EB%A7%8C%EB%A0%99%EB%8F%8C%ED%8C%8C?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션,한국","나무위키,네이버웹툰,WEBTOONGUIDE"
지옥연애환담,22,2.5,69,월요일,https://newtoki307.com/webtoon/21482250?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/21481509/%EC%A7%80%EC%98%A5%EC%97%B0%EC%95%A0%ED%99%98%EB%8B%B4?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"로맨스,드라마","나무위키,네이버웹툰"
더블클릭,98,3.5,110,월요일,https://newtoki307.com/webtoon/15954429?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/15954414/%EB%8D%94%EB%B8%94%ED%81%B4%EB%A6%AD?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션,한국","나무위키,네이버웹툰"
아슈타르테,68,2.5,59,월요일,https://newtoki307.com/webtoon/22968327?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/22967328/%EC%95%84%EC%8A%88%ED%83%80%EB%A5%B4%ED%85%8C?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스,드라마","네이버웹툰,나무위키"
앵무살수,89,4.5,164,월요일,https://newtoki307.com/webtoon/654236?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/654149/%EC%95%B5%EB%AC%B4%EC%82%B4%EC%88%98?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션,한국","네이버웹툰,나무위키,경향신문"
좀비묵시록 82-08,28,4.5,11,월요일,https://newtoki307.com/webtoon/31203749?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/31203361/%EC%A2%80%EB%B9%84%EB%AC%B5%EC%8B%9C%EB%A1%9D-82-08?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,액션,"나무위키,네이버웹툰"
별난식당,43,4.5,32,월요일,https://newtoki307.com/webtoon/26600396?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/26600261/%EB%B3%84%EB%82%9C%EC%8B%9D%EB%8B%B9?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,드라마,"나무위키,네이버웹툰"
퍼니게임,16,2.5,49,월요일,https://newtoki307.com/webtoon/24304076?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/24303986/%ED%8D%BC%EB%8B%88%EA%B2%8C%EC%9E%84?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"미스터리,드라마","나무위키,네이버웹툰"
루크 비셸 따라잡기,44,3.5,55,월요일,https://newtoki307.com/webtoon/21766983?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/21764763/%EB%A3%A8%ED%81%AC-%EB%B9%84%EC%85%B8-%EB%94%B0%EB%9D%BC%EC%9E%A1%EA%B8%B0?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스","네이버웹툰,나무위키"
마녀의 딸이 남주의 저주를 풀면,11,2.5,20,월요일,https://newtoki307.com/webtoon/31406809?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/31402201/%EB%A7%88%EB%85%80%EC%9D%98-%EB%94%B8%EC%9D%B4-%EB%82%A8%EC%A3%BC%EC%9D%98-%EC%A0%80%EC%A3%BC%EB%A5%BC-%ED%92%80%EB%A9%B4?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스","네이버웹툰,카카오페이지"
똑 닮은 딸,104,4.5,103,월요일,https://newtoki307.com/webtoon/16151214?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/16151145/%EB%98%91-%EB%8B%AE%EC%9D%80-%EB%94%B8?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"미스터리,한국","네이버웹툰,나무위키"
