이름,작가/그림,장르,요일,추천수,별점(총),별점(화),총화수,댓글,줄거리,이미지,플랫폼,첫화링크,업데이트
배틀슬라임,,액션,월,9,"[2.1, 10]","[2.5, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20,"['a', 'b', 'c']","신이 되어 타이탄에 복수하겠어 핵폭탄을 사용한 3차 세계대전이 휩쓸고 간 지구는 인간과 생명체들을 멸망 직전까지 몰고 간다. 국가라는 개념이 없어지고 민족화된 세상. 타이탄 사는 황폐화된 세계를 슬라임을 사용해 점차 복구시키고 자원을 독점하면서 지구상 유일무이한 기업으로 성장한다. 타이탄 사의 수장 제네시스의 목표는 오직 하나. 슬라임과 성장기 아이들을 결합시켜 지구에 블랙홀을 일으킨 후, 자신의 야망을 실현시킬 신을 만드는 것. 이를 막기 위한 천방지축 노아와 까칠한 아크의 사투를 그린 이야기.",src/img/배틀슬라임.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2024-01-22 00:00:00')]"
아도니스,,"판타지,로맨스,한국",월,273,"[3.6, 81]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9, 4.9, 4.9, 4.9, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.7, 4.7, 4.7, 4.7, 4.7, 4.6, 4.6, 4.6, 4.6, 4.6, 4.6, 4.6, 4.5, 4.4, 4.4, 4.4, 4.3, 4.3, 4.3, 4.3, 4.3, 4.2, 4.0, 4.0, 4.0, 4.0, 3.8, 3.7, 3.7, 3.4]",243,"['a', 'b', 'c']",자신과 누구보다 닮았던 자 전생에서 파국을 맞이하게 된 두 사람은 새로운 생에서도 또다시 만나게 되고 비극을 바복하게 되는 것일까....,src/img/아도니스.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2018-07-17 00:00:00')]"
버림받고 즐기는 소박한 독신의 삶,,"판타지,로맨스",월,98,"[4.0, 39]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.3, 4.2, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",51,"['a', 'b', 'c']","캐서린은 많은 걸 원하지 않았다. 옷과 장신구 같은 사치품이 없어도, 끝이 다 찢겨 흉측한 침실의 커튼이나 굽이 다 닳아 높이가 다른 구두도 괜찮았다. 돌아가신 어머니를 위해서라도 이를 악물고 견딘지 2년. 이제 더는 그럴 필요를 느끼지 못했다. ""좋아요, 제가 나갈게요."" 캐서린은이 모든 것에 지쳤다. *** ""교황의 번견인가? 여기까지 잘도 찾아왔군."" 그녀의 저택에 침입한 남자는 머리부터 발끝까지 젖은 채였다. 까만 가죽 장화 아래로 진흙이 엉망으로 뭉개진 게 보였다. 이럴수가. 바닥을 닦던 도중에 풀도 아닌 진흙을 끌고 오다니! “변장이 꽤 그럴싸해. 누가 봐도 평범한 도시 여성이라 하마터면 속아 넘어갈 뻔했….” “닦아.” 그녀는 잡고 있던 대걸레를 남자에게 내밀었다. “뭘 그렇게 멍청하게 봐? 바닥 닦으라니까? 그리고 초면에 함부로 검 들이미는 거 아니야. 주거 침입으로 모자라 살인 미수로 신고당하고 싶어?”",src/img/버림받고즐기는소박한독신의삶.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2023-04-30 00:00:00')]"
나는 EX급 헌터다,,"판타지,액션",월,63,"[2.6, 59]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.6, 4.4, 4.0, 4.0, 4.0, 4.0, 3.8, 3.7, 3.7, 3.7, 3.7, 3.5, 3.5, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",40,"['a', 'b', 'c']","갑작스럽게 나타난 괴물 오버로드들에게 맞서 싸웠으나, 끝내 패배하고 고향과 동료들을 잃었던 여덟 영웅 중 하나인 아덴. 오버로드들의 우두머리인 여왕과의 전투를 마지막으로, 그는 게이트와 헌터라는 존재가 있는 세계에서 평범한 청년 한태민으로 환생한다. 상실과 실패의 기억으로 무기력하게 살아가던 어느날, 다시 소중한 사람을 잃은 한태민은 헌터로 각성하게 되는데… 과연 실패한 영웅이었던 한태민은, 이번에야 말로 자신의 동료들과 세계를 뻗어오는 마수로부터 지킬 수 있을 것인가?",src/img/나는EX급헌터다.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2023-12-04 00:00:00')]"
마도선자,,무협,월,18,"[2.0, 36]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 3.0, 2.7, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",28,"['a', 'b', 'c']","장강을 핏빛으로 물들인 '장강혈마'! 온갖 악행으로 결국 처단을 당하게 되고 죽기 직전에 자신의 신병 '멸수회천도'에 자신의 혼을 넣는다. 그렇게 시간이 지나 어느날, 물고기 배 속에서 우연히 '멸수회천도'를 발견한 애 딸린 아낙네 선자. 장강혈마는 어수룩한 촌 아낙네인 선자의 몸을 빼앗고 다시금 세상에 준동하여 천하마도를 꿈꾸는데... 하지만 세상물정 모르는 선자와 호시탐탐 기회만 노리는 장강혈마의 강호행이 펼쳐진다!",src/img/마도선자.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2024-03-14 00:00:00')]"
절세무신,,"무협,중국",월,76,"[2.3, 50]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.5, 4.5, 4.4, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.2, 4.2, 4.2, 4.2, 4.1, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.8, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.5, 3.5, 3.3, 3.3, 3.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",406,"['a', 'b', 'c']","현대 세계에 살던 주인공 '임풍'은 뜻밖의 사로고 무림 세계에 살던 약골 '임풍'의 몸에 빙의한다. 무림 세계에선 강자가 곧 지존이고 법이다! 갖은 멸시를 당하던 과거의 약골 '임풍'은 새롭게 태어나며, 무도의 최고봉을 향해 한 걸음씩 올라선다.",src/img/절세무신.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2019-12-30 00:00:00')]"
천검지존,,"판타지,액션,개그,무협,중국",월,12,"[2.3, 15]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.3, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",175,"['a', 'b', 'c']","도(刀)는 추앙받고 검(劍)은 멸시받는 시대. 무혼 중 가장 서열이 높은 도혼을 각성하면 가문의 자랑이자 다른 이들의 부러움도 한눈에 살 수 있었다. 그리고 도혼 9성으로 각성할 기회를 얻은 초현. 모두 그가 도혼으로 각성할 것이라 믿어 의심치 않았다. 하지만... 어렸을 때 수련하다 우연히 만난 천도서가 말하길, 검혼을 각성해 천도본원결을 깨우치면 최강자가 될 수 있다고 한다. 어려서부터 유달리 힘에 대한 열망이 강했던 초현은 도혼을 포기하고 결국 검혼 10성으로 각성하게 된다. 남들과 달리 어려운 길을 선택한 초현. 과연 그는 검혼으로 최강자가 될 수 있을까?",src/img/천검지존.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2022-04-07 00:00:00')]"
개꿈,,"로맨스,드라마,성인",월,10,"[3.9, 11]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.5, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",24,"['a', 'b', 'c']","독서실 알바이자 공시생인 27살 윤빛나는 잘생긴 파트너 강경준과 잠자리를 가지며, 그에게 재벌 3세 여자친구 차현주가 있다는 사실을 알면서도 관계를 끊어내지 못하는데...",src/img/개꿈.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2023-12-29 00:00:00')]"
내게 종말은 게임이다,,"판타지,액션,드라마",월,170,"[3.7, 55]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9, 4.7, 4.6, 4.4, 4.3, 4.2, 4.0, 3.5, 0.0]",54,"['a', 'b', 'c']",백수나 다름없는 삶을 살던 게임 스트리머 고천수. 시청자 수는 1명. 어느 날 플레이어로 지목된 그는 현실 세계의 서바이벌 게임에 내던져진다. 클리어 조건은 죽지 않는 것. 24시간 라이브 생존 스트리밍이 시작된다.,src/img/내게종말은게임이다.png,,,"[Timestamp('2024-04-06 00:00:00'), Timestamp('2023-04-08 00:00:00')]"
악역 황녀님은 과자집에서 살고 싶어,,"판타지,개그,로맨스,한국",월,226,"[3.5, 78]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.8, 4.8, 4.5, 4.2, 4.1, 4.0, 4.0, 3.7, 3.4, 2.6, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",108,"['a', 'b', 'c']","찢어지게 가난한 집 아이로 환생한 줄 알았더니…. “아나스타샤 황손 저하를 모시러 왔습니다!” …아무래도 나는 ‘원작’에서 권력을 탐하다 비참한 최후를 맞이하는 황녀에 빙의한 모양이다. 권력에 관심이 없음을 보여 줄 겸, 전생에서 못다 이룬 파티시에의 꿈을 향한 욕심도 채울 겸, 계약한 정령의 도움을 받아 열심히 과자만 구웠다. 맛있는 걸 먹으면 기분이 좋아질 테니 설마 나를 죽이지야 않겠지! 그런데 냉혹하고 비정한 황제(할아버지)도, 나를 파멸로 몰고 갈 남주 황태손(사촌 오빠)도, 제국 최강의 기사인 소공작(오빠 친구)도, 나한테 칼을 꽂을 노예 기사(엘프)도! ""저하의 라임 파이가 좋다는 말입니다."" …이 사람들, 설마 과자 말고 나한테 푹 빠진 건가? 디저트처럼 달콤하고 사랑스러운 악역 황녀 아샤의 베이킹&힐링 판타지!",src/img/악역황녀님은과자집에서살고싶어.png,,,"[Timestamp('2024-04-06 00:00:00'), Timestamp('2021-06-02 00:00:00')]"
던전 견문록,,"판타지,액션",월,684,"[4.7, 236]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.8, 4.8, 4.8, 4.8, 4.8, 4.7, 4.7, 4.7, 4.6, 4.6, 4.6, 4.5, 4.5, 4.3, 4.3]",82,"['a', 'b', 'c']","미궁에서 태어나 괴수의 젖을 먹고 자란 인류의 후손, 특별한 힘과 강인한 신체를 지닌 그들이 돌아왔을 때 인류는 그들을 가리켜 던전 베이비라 불렀다. 그중에서도 가장 깊은 미궁에서 태어난 김진우. ""강해지려고 한 적은 없어. 단지 난 살고싶었을 뿐이야."" 가장 비천한 토굴꾼에서 미궁의 왕까지, 지금 그의 일대기가 펼쳐진다.",src/img/던전견문록.png,,,"[Timestamp('2024-04-05 00:00:00'), Timestamp('2022-09-26 00:00:00')]"
괴물 공작이 나를 아내로 착각한다,,"판타지,로맨스",월,41,"[4.8, 22]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.8, 3.0]",24,"['a', 'b', 'c']","빙의한 소설 속 흑막이자 저주받은 '괴물 공작', 딜리언 시나이즈가 눈앞에 나타났다. 대체 누구에게 당한 건지, 다 죽어가는 채로. 모른 척할 수 없어 치료해줬는데 기억을 잃은 데다 이상한 착각까지 한다? ""당신만 보면 심장이 무섭게 뛰고, 정신이 아찔합니다."" ""그, 그건…."" ""역시 저희는 연인이었군요."" ""아니에요, 모르는 사이였다니까요?!"" 한 번 시작된 오해는 걷잡을 수 없이 커져만 가는데. ""부인이 제 곁을 떠나면…."" ""죽이기라도 하게요?"" ""아니, 당신을 데려간 놈을 죽여야지."" 이 무서운 남자한테서 무사히 벗어날 수 있을까?",src/img/괴물공작이나를아내로착각한다.png,,,"[Timestamp('2024-04-05 00:00:00'), Timestamp('2024-03-23 00:00:00')]"
이차원 용병,,"판타지,한국",월,258,"[3.4, 97]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.6, 4.6, 4.6, 4.6, 4.6, 4.6, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.4, 4.4, 4.4, 4.4, 4.4, 4.4, 4.4, 4.4, 4.4, 4.4, 4.4, 4.4, 4.4, 4.4, 4.4, 4.4, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.2, 4.2, 4.2, 4.2, 4.2, 4.2, 4.2, 4.2, 4.2, 4.1, 4.1, 4.1, 4.1, 4.1, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.9, 3.9, 3.8, 3.8, 3.8, 3.8, 3.8, 3.8, 3.7, 3.7, 3.7, 3.7, 3.7, 3.6, 3.6, 3.6, 3.6, 3.6, 3.5, 3.4, 3.3, 3.3, 3.2, 3.0, 3.0, 3.0, 2.7, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",278,"['a', 'b', 'c']",『이차원 용병』취직하고 싶습니까?영혼을 팔아서라도 취직하고 싶으십니까?그렇다면 잘 오셨습니다.,src/img/이차원용병.png,,,"[Timestamp('2024-04-05 00:00:00'), Timestamp('2018-07-18 00:00:00')]"
백작 영애의 애인을 꼬셔라,,"판타지,로맨스",월,23,"[2.9, 16]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 3.0, 3.0, 2.3, 1.3, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",68,"['a', 'b', 'c']","18살. 마탑에 갇혀 황제에게 이용만 당하다가 회귀한 리델 크로스. 이번 생에는 절대 마법과 관련 없는 평범한 삶을 살 것이라 다짐하며, 백작가의 메이드가 되는 것까지는 좋았는데. 백작은 리델에게 밀레나 아가씨의 애인으로 소문난 그레이엄을 꼬셔 떼어내라는 명령을 내린다. 하지만 떼어내라는 놈이 회귀 전 황제와 너무 똑같이 생겨서 적응 안 되는 그레이엄? 얼굴만 봐도 벌벌 떨리는데 저 사람을 꼬시라니요!",src/img/백작영애의애인을꼬셔라.png,,,"[Timestamp('2024-04-05 00:00:00'), Timestamp('2022-09-25 00:00:00')]"
