이름,플랫폼,작가,그림,장르,상태,요일,좋아요,별점,총화수,무료,줄거리,첫화링크
11336(일일삼삼육),naverseries,도미,수석,순정,완결,목,24,9.9,40,3화,"백구긴 생머리, 하얀 원피스, 첫사랑그 아련한 조합에 그는 기절하고 말았다한 번쯤 보고팠던 사람이라서가 아니라빗속에서 나타난 희끄무레한 그녀가귀신인 줄 알았기 때문에백사웃었던, 울 수 있는, 안전한그 유일한 곳으로 결국 돌아오고 말았다아무것도 묻지 않으면서도은근한 열기를 숨기지 못하는 그 눈빛이어쩌면 그리웠기 때문에백구 X 백사“나 어린애 아니야 발정 난 개새끼지”“진짜 개새끼가 되면, 뭐가 어떻게 되는데?”그의 기억을 지배했던 그녀가이제 그의 전부를 잠식하기 시작했다*원작 : 우지혜 [웹소설]11336(일일삼삼육)접기",https://series.naver.com/comic/detail.series?productNo=9784572&sortOrder=DESC#priceInfo
도군,naverseries,China Literature/Yueguan Baishao,China Literature/Yueguan Baishao,무협,완결,토,2,8.8,159,9화,"""고고학자로 살아가며 사람들에게 """"도야""""라는 이름으로 불리던 주인공은어느 날 묘혈을 조사하던 중 구리거울을 발견하게 되고, 구리거울을 떼어냄과 동시에 묘혈이 무너지며 다른 차원으로 이동하게 된다 눈을 떴을 땐 """"우유도""""라는 어린 소년이 되어 있었고, 신비한 모습을 하고 있는 노인에게 묘혈에서 봤던 것과 똑같은 구리 거울과 노인의 모든 내공을 전수 받아 """"상청종""""으로 가라는 부탁을 받게 되는데…""접기",https://series.naver.com/comic/detail.series?productNo=9133577&sortOrder=DESC#priceInfo
카르페디엠,naverseries,메르비스,나래,순정,완결,월,488,9.6,52,7화,"「원하는 것은 모두 이룰 수 있는 세상   그곳으로 당신을 초대합니다」즐거워하며 게임 실행을 누르는 그 순간,들리는 집사의 목소리그녀는 육성 시뮬레이션 게임 속의 딸이 되어 있었다스물네 살, 멀쩡하던 처자가열 살짜리 남의 집 딸네미가 되어무사히 어른이 되어야 한다접기",https://series.naver.com/comic/detail.series?productNo=2981748&sortOrder=DESC#priceInfo
막장소설의 조연으로 환생했습니다,naverseries,Baiyu zhai diaogong,Baoqing Comics/Sanniang,드라마,시즌 휴재,월,1,8.5,99,4화,"막장 소설 속 조연으로 전생했는데, 이 막장 미션은 또 뭐야 남녀 주인공을 이간질 시킬 뿐만 아니라, 싸가지 서브 남주까지 공략해야 한다니… 이거 너무 쉽잖아?천재 소녀인 내가 간다 딱 기다려 잠깐 근데 이 흐름은 뭐지? 이 싸가지 서브 남주가 나한테 관심이 생긴 걸까…?접기",https://series.naver.com/comic/detail.series?productNo=9575433&sortOrder=DESC#priceInfo
황제의 품으로 돌아온 성녀,naverseries,화영,마요네스,순정,시즌 휴재,수,12,9.6,47,3화,"동료와 연인에게서 비참하게 버림받았다그들의 죄를 대신해 처형장에 끌러온 리엘라를 구한 것은 황제 헤르한이었다그렇게 헤르한에게서 빚지고 많은 것을 내어주었지만, 그뿐이었다리엘라는 자신이 감히 그의 세상을 흔들게 될 줄은 몰랐다 자신이 ‘저주 받은 능력자’인 그를 구원할 수 있는 유일의 성녀임을 깨닫기 전까지는접기",https://series.naver.com/comic/detail.series?productNo=10017017&sortOrder=DESC#priceInfo
로맨스는 없다,naverseries,한하연,랍스타,순정,연재중,금,34,9.7,74,3화,"[거짓에 치인 사랑은 사치다]사랑했던 남자가 있었다 그와 결혼할 줄 알았다 그랬던 그가 그녀에게 온갖 모욕을 주며 파혼을 선언했다 그로부터 5년 후, 일에만 파묻힌 채 살아온 루체 그란시아는 황태자의 명을 받고 사교계로 돌아오게 된다접기",https://series.naver.com/comic/detail.series?productNo=9368354&sortOrder=DESC#priceInfo
"구해주세요, 공주님",naverseries,재겸,Gon,순정,시즌 휴재,수,3,9.6,90,3화,"포르투 왕국의 철부지 공주, 클로디아오빠는 왕이 될 예정, 본인은 잘생긴 왕자와 결혼할 예정프러포즈만 받으면 여자로서 행복한 나날이 기다리고 있을 거라 믿어 의심치 않았다그러나 프러포즈 받기로 했던 날 밤, 마왕이 쳐들어와 왕성이 폭발되고 만다졸지에 수호정령으로부터 왕국을 위기에서 구할 용사로 선택받은 클로디아,망국의 공주는 싫다며 약혼자한테 차이기까지 하는데…결국 왕국을 구하러 나선 길,그런데 왜 하필 전남친이랑 가야 해?접기",https://series.naver.com/comic/detail.series?productNo=8552096&sortOrder=DESC#priceInfo
악녀인데 하필 남편이 잘생겼다,naverseries,권수리,장덕,순정,연재중,수,22,9.6,56,5화,"""라메인, 내가 당신에게 미친 것 같습니다""이혼하려고 하는 남편이 하필, 너무 잘생겼다 게다가 원작과는 다르게 나를 좋아하고 있는 것 같은데? 평생 손해만 보고 살아가는 의사였던 나 소설 속에 악녀인 '라메인 로저'에게 빙의해 버렸다 이번 생이야말로 하고 싶은 일 다 하며 살아가겠다고 결심했는데작가님, 이거 원작 설정 붕괴 아닌가요?접기",https://series.naver.com/comic/detail.series?productNo=10038101&sortOrder=DESC#priceInfo
악역 영애의 페로몬,naverseries,tanimura nijuen,Mizuno Saicoro,순정,연재중,수,좋아요,8.2,38,2화,"여성향 게임 <프린스 오브 프린스>의 악역 영애로 환생한 주인공 원래라면 정식 히로인과 왕자가 이어져 특수한 페로몬의 영향으로 맺어져야 하는데, 어째서인지 악역 영애와 왕자가 서로에게 반응하게 된다 좋아한다는 감정보다 본능으로 먼저 맺어지고 만 둘의 운명은 과연…?© tanimura nijuen／Irukano Tuno / Mizuno Saicoro / wwwave comics접기",https://series.naver.com/comic/detail.series?productNo=10639298&sortOrder=DESC#priceInfo
불친절한 부부생활,naverseries,벚꽃그리고/스트,애고,순정,완결,목,11,9.4,55,5화,"“유비서, 나랑 결혼하면 평생 안 하고 살 수 있습니다”용모, 능력, 모든 것이 완벽한 캔웨어 대표 한주원은 깊은 고민에 빠져 있다진정으로 사랑하는 상대와 결혼하는 손주에게 그룹 경영권을 주겠다는 할아버지의 충격 선언 때문여자와 접촉하면 알레르기가 생기는 주원에게 진정한 사랑이란 불가능해 보인다하지만 경영권 경쟁을 위해 급히 결혼 상대를 찾아야 하는 그의 눈에 비서 유다은이 들어온다다은은 평소 주원을 재수 없다고 생각하지만… 황당하기 짝이 없는 그의 제안에 흔들린다  “유비서, 나와 결혼하면 캔플라워 경영권을 드리죠 대신 결혼 후 스킨십 금지 그게 나의 조건입니다”접기",https://series.naver.com/comic/detail.series?productNo=9173526&sortOrder=DESC#priceInfo
