이름,플랫폼,작가,그림,장르,상태,요일,조회수,좋아요,총화수,무료,무료주기,줄거리,키워드,첫화링크
악역의 구원자,kakaowebtoon,명랑,잿슨,로맨스 판타지,완결,15,"7,270.5만",47.7만,89,5,1일마다 무료,"모든 것을 걸어서라도 악역인 아제프의 운명을 바꾸겠노라 다짐한 여자, 엘제이 자신 문장의 비밀을 숨기고, 그를 구원할 수 있을까?","설레는,처절한,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EC%95%85%EC%97%AD%EC%9D%98-%EA%B5%AC%EC%9B%90%EC%9E%90/1654
악한 기사,kakaowebtoon,글가애,김랄라,로맨스 판타지,완결,15,704.7만,9.9만,120,7,1일마다 무료,"니제르 디에스몬트 왕국의 왕비로서 사랑하는 왕과 영원히 행복할 줄 알았다하지만 왕은 그녀를 배신하고 참수형을 내리고 만다죽음 후, 다시 눈을 뜬 곳은 마녀 사냥터였다 사람들은 그녀를 마녀라 부르며 죽이려 하고,필사적으로 도망치며 니제르는 왕을 향한 복수를 다짐한다우연히 도착한 곳은 이웃 나라인 이그니스 제국이었다그곳에서 신비로운 하얀 늑대를 만나게 되고……늑대의 정체는 바로 이그니스 제국의 황제인 녹스였던 것첫눈에 니제르에게 반한 녹스는 정체를 숨긴 채인간과 늑대를 넘나들며 그녀를 항상 곁에서 지켜준다한편, 이그니스 제국과 몬트 왕국의 전쟁이 머지 않았음을알게 된 니제르는 제국의 기사단에 입단하기로 하고……, 하지만 기사단엔 오직 남자들만 들어갈 수 있을 뿐인데……니제르, 남장 기사가 되기로 다짐하다?과연, 니제르는 복수에 성공할 수 있을까?","분노유발,통쾌한,로맨스판타지,기사물",https://webtoon.kakao.com/content/%EC%95%85%ED%95%9C-%EA%B8%B0%EC%82%AC/2152
도장을 찍어주세요,kakaowebtoon,다래,다래,로맨스,연재,수,76만,1.6만,30,31,연재 무료,"자수성가 CEO가 되어 백세인생 해피 싱글라이프가 목표인22살 대학생 ‘지아’“재벌가 손자랑 우리 지아랑 맞선 보기로 했어^^”“아빠 대체 무슨 말씀이에요”반드시 거절하겠어 라고 맘먹고 나간 맞선 자리맞선남은… 같은 과 존잘 선배, ‘연후’?거기에 또 다른 재벌집 손자 ’승호’가 난입?결국 셋이서 한 집에 동거하며 최종 신랑감을 고르기로 한다그러던 어느 날, 자신의 결혼식 꿈을 꾼 지아아아아, 신랑의 얼굴이… 얼굴이… 흐릿해과연 꿈속 운명의 신랑감은 누구?내 사랑, <도장을 찍어주세요>","발랄한,따뜻한,로맨스,로맨틱코미디물",https://webtoon.kakao.com/content/%EB%8F%84%EC%9E%A5%EC%9D%84-%EC%B0%8D%EC%96%B4%EC%A3%BC%EC%84%B8%EC%9A%94/2732
나빌레라,kakaowebtoon,Hun,지민,드라마,완결,3시간마다 무료,"9,434.6만",68.2만,30,0,3시간마다 무료,"나이 일흔에 도전을 시작했다 스물셋, 방황이 시작됐다","감동적인,가슴먹먹한,드라마,성공성장물",https://webtoon.kakao.com/content/%EB%82%98%EB%B9%8C%EB%A0%88%EB%9D%BC/1313
니니툰즈,kakaowebtoon,니니즈,,코믹/일상,완결,월,153만,4.9만,105,106,연재 무료,"베일에 쌓인 스노우타운 지금까지 숨겨왔던 니니즈의 수줍은 귀여움이 공개된다 코미디, 드라마, 우당탕탕 액션, 병맛까지  다섯개의 챕터로 찾아올 니니툰즈 과연 다음 챕터의 주인공은 누구?  까면 깔수록 매력적인 니니즈를 니니툰즈에서 만나보자","귀여운,웃기는,코믹/일상,에피소드물",https://webtoon.kakao.com/content/%EB%8B%88%EB%8B%88%ED%88%B0%EC%A6%88/2484
그녀가 공작저로 가야 했던 사정,kakaowebtoon,고래,고래,로맨스 판타지,완결,2일마다 무료,"2,457.1만",51.7만,30,0,2일마다 무료,"의문의 사망 이후, 소설 속으로 빙의하게 된 재수생 박은하 하지만 그녀가 빙의한 인물은 주인공도 아닌 약혼자에게 독살당해 죽는 엑스트라, 레리아나 맥밀런?  그녀가 살아남을 유일한 길은 약혼자와의 파혼뿐 레리아나(=박은하)는 소설 남주, 노아 윈나이트에게 계약 약혼을 청하게 되는데…  “단 6개월만 약혼자 흉내를 내주신다면 그 후에는, 공작님 인생에서 깨끗이 사라져 드리죠” “좋아 대신 내가 필요할 때에는 꼭 내 약혼녀로서의 역할을 해내 줘야겠어”  그러나 노아 이 자식…… 천사 같은 얼굴 뒤에 까만 속내를 감춘 악마보다 더한 놈이었다?  그녀는 죽음의 운명에서 벗어날 수 있을까? 냉혈 공작, 노아 윈나이트 X 당찬 빙의녀, 레리아나 맥밀런의 파란만장 로맨스 판타지","발랄한,설레는,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EA%B7%B8%EB%85%80%EA%B0%80-%EA%B3%B5%EC%9E%91%EC%A0%80%EB%A1%9C-%EA%B0%80%EC%95%BC-%ED%96%88%EB%8D%98-%EC%82%AC%EC%A0%95/2314
아싸가 알아버렸다,kakaowebtoon,곰브,곰브,드라마,완결,3시간마다 무료,644.2만,3.8만,30,1,3시간마다 무료,학교 최고 인싸' 윤정의 비밀을 쥔 '존재감 제로 극한의 아싸' 두봉물과 기름처럼 엮일 리 없는 둘의 학교 적응기,"웃기는,귀여운,드라마,성장물",https://webtoon.kakao.com/content/%EC%95%84%EC%8B%B8%EA%B0%80-%EC%95%8C%EC%95%84%EB%B2%84%EB%A0%B8%EB%8B%A4/1847
보글보글챱챱,kakaowebtoon,첨지,첨지,코믹/일상,완결,12시간마다 무료,134.9만,3.5만,78,13,12시간마다 무료,"먹고, 먹으니, 먹으면서, 먹자마자, 먹자 하니, 먹으며, 먹는다면, 먹었으니, 먹을 테니, 먹어서, 먹으려면,먹고서, 먹을 수가, 먹으려니, 먹자니, 먹으니까… 맛있게 잘 먹겠습니다♡ (아, 태어나길 잘했어) 매일매일을 행복으로 채우는 맛있는 한입 <보글보글챱챱>","발랄한,공감되는,코믹/일상,옴니버스물",https://webtoon.kakao.com/content/%EB%B3%B4%EA%B8%80%EB%B3%B4%EA%B8%80%EC%B1%B1%EC%B1%B1/2115
라이온 퀸,kakaowebtoon,송백,송백,드라마,완결,2일마다 무료,13만,"7,011",30,0,2일마다 무료,"환상을 가득 품고, 화장품 홍보대행사에 입사한 사회초년생 민윤지 그러나 그녀를 기다리고 있는 것은 신입 갈구기 뿐이었는데… 온갖 폭언과 이간질, 책임 전가,정치질 등이 난무하는 정글 같은 회사에서경험치 제로의 신입이 과연 살아남을 수 있을까? 사이다 가득한 신입사원의 고군분투 회사 생존기 <라이온 퀸>","통쾌한,웃기는,드라마,오피스물",https://webtoon.kakao.com/content/%EB%9D%BC%EC%9D%B4%EC%98%A8-%ED%80%B8/3126
도나스 학교괴담,kakaowebtoon,DONA$,DONA$,코믹/일상,완결,1일마다 무료,"2,331.5만",16.9만,30,0,1일마다 무료,기묘한 학교에서 벌어지는 무시무시한 이야기,"미스테리한,등골오싹한,코믹/일상,에피소드물",https://webtoon.kakao.com/content/%EB%8F%84%EB%82%98%EC%8A%A4-%ED%95%99%EA%B5%90%EA%B4%B4%EB%8B%B4/1364
간이역에 겨울이 오면,kakaowebtoon,꿀오뎅,꿀오뎅,로맨스,완결,1일마다 무료,"4,627.8만",31.5만,90,2,1일마다 무료,"취업난을 뚫고 어렵게 '인턴'이 되었는데 쓰러질 것 같은 기차역이 웬말? 하지만 전화위복, 두근두근 로맨스가 찾아온다","설레는,따뜻한,로맨스,로맨틱코미디물",https://webtoon.kakao.com/content/%EA%B0%84%EC%9D%B4%EC%97%AD%EC%97%90-%EA%B2%A8%EC%9A%B8%EC%9D%B4-%EC%98%A4%EB%A9%B4/1288
트레이스,kakaowebtoon,네스티캣,네스티캣,학원/판타지,연재,화,8.2억,242.3만,180,91,3시간마다 무료,"어느 날 갑자기 세상에 나타나 인간들을 공격하는정체불명의 존재, 트러블트러블이 나타난 후,트러블에 맞서 싸울 수 있는 인간 능력자들이 나타나기 시작했다 트러블, 트레이스, 인간각자 생존을 건 싸움이 시작된다","압도되는,몰입되는,학원/판타지,전쟁물",https://webtoon.kakao.com/content/%ED%8A%B8%EB%A0%88%EC%9D%B4%EC%8A%A4/1047
