이름,플랫폼,작가,그림,장르,상태,요일,조회수,좋아요,총화수,무료,무료주기,줄거리,키워드,첫화링크
이끼,kakaowebtoon,윤태호,윤태호,공포/스릴러,완결,3시간마다 무료,3.1억,27.2만,82,7,3시간마다 무료,"나를 거부하는 고향 사람들의 시선, 그 이유는? 한국식 잔혹스릴러의 막이 올랐다","긴장감있는,압도되는,공포/스릴러,범죄스릴러물",https://webtoon.kakao.com/content/%EC%9D%B4%EB%81%BC/67
뮈엘라의 수사관,kakaowebtoon,,솔,로맨스 판타지,완결,15,123.3만,6만,163,5,1일마다 무료,"마법사와 마녀를 배척하는 나라 뮈엘라 뮈엘라의 시골 영지 알라나데일의 저택에서 하녀로 일하는 케이트어느 날, 그녀가 일하는 데일 남작가에 수상한 하인이 들어온다하인에 어울리지 않는 훤칠한 키에 단정한 외모를 가진 그는 첫날부터 주목을 받지만,케이트는 사사건건 자신과 부딪치는 이안이 마음에 들지 않는다한편 그녀가 몸담은 데일 남작가에 불길한 사건들이 하나둘 일어나기 시작하는데……","몰입되는,설레는,로맨스판타지,수사물",https://webtoon.kakao.com/content/%EB%AE%88%EC%97%98%EB%9D%BC%EC%9D%98-%EC%88%98%EC%82%AC%EA%B4%80/2624
네 곁에도 어쩌면,kakaowebtoon,윤지운,윤지운,드라마,완결,15,132만,4.7만,101,5,3시간마다 무료,"“죽은 사람, 지금 네 주변에 있어”평범한 여고생 미율의 운명에 예정되어 있던 버스 사고 그 사고를 예견한 같은 학교 학생 박하영의 도움으로 미율은 가까스로 버스 사고를 피하게 된다 하지만 그에 대한 대가인지 ‘누군가’의 투신을 목격하게 되고 이후, 미율은 투신했던 귀신 때문에 악몽에 시달린다 결국 자신에게 버스 사고를 피할 수 있게 도와준 하영에게 다시 도움을 청하게 되고 ‘귀신’의 진실을 알게 된 미율은 귀신보다 더 무서운 사람들의 냉혹함에 씁쓸해진다 “내가 신내림 받은 무당이야”하영의 뜻밖의 고백 그리고 귀신을 볼 수 있게 된 미율의 앞날은?","등골오싹한,섬뜩한,드라마,일상판타지",https://webtoon.kakao.com/content/%EB%84%A4-%EA%B3%81%EC%97%90%EB%8F%84-%EC%96%B4%EC%A9%8C%EB%A9%B4/2544
짐승같은 스캔들,kakaowebtoon,박플럼 [악어스튜디오],박플럼 [악어스튜디오],로맨스,완결,15,535.4만,9.9만,77,5,1일마다 무료,"청아함의 대표주자 국민 여배우 여고은, 그리고 퇴폐미 넘치는 스캔들메이커 서범의 사실, 이 둘에게는 비밀이 있다 소속사의 농간으로 '절친 연기'를 하고 있다는 것""난 너랑 친구할 생각 없거든? 영원히""""나도 없거든, 친구 할 생각""<절친 특집> 리얼리티 프로그램에서는 한없이 애틋하고 다정해 보이는 두 사람, 하지만 이 모든 건 연기였다처음에는 분명 만날 때마다 으르렁대기 바빴던 둘 프로그램을 촬영하면서 점점 더 가까워지고, 범의를 싫어하던 고은의 마음에도 작은 변화가 생기기 시작하는데과연 이 둘은 오해를 풀고 '가짜 절친'에서 벗어나 '진짜 연인'이 될 수 있을까?","설레는,에로틱한,로맨스,로맨틱코미디물",https://webtoon.kakao.com/content/%EC%A7%90%EC%8A%B9%EA%B0%99%EC%9D%80-%EC%8A%A4%EC%BA%94%EB%93%A4/2695
왜란종결자,kakaowebtoon,팀 풍경,팀 풍경,판타지 드라마,완결,2일마다 무료,146.4만,5.4만,104,3,2일마다 무료,"전쟁통에 어머니를 잃고 아버지를 찾아나선 은동, 알 수 없는 이유로 사라지기 시작한 혼들을 추적하는 저승사자 태을, 800년간 도를 닦은 호랑이 흑호, 우주 팔계를 통틀어 상대할 자 없는 환수 호유화 조선이 건국된 지 200년, 후에 임진왜란으로 기록되는 기나긴 전란 속에서 왜란 종결자를 찾아 천기를 바로잡기 위해 분투하는 네 사람의 치열한 싸움이 시작된다","통쾌한,몰입되는,판타지드라마,성공성장물",https://webtoon.kakao.com/content/%EC%99%9C%EB%9E%80%EC%A2%85%EA%B2%B0%EC%9E%90/2676
단두 (斷頭),kakaowebtoon,붉은 발,이동욱,액션/무협,시즌완결,화,"3,724.9만",32.6만,101,102,연재 무료,"""부모님을 죽인 원수를 갚기 위해 분투하는단영, 단린 오누이의 복수 여정""창현표국의 국주는 가족과 함께 표행을 나섰다가 그를 죽이라고 사주 받은 두 낭인에 의해아내와 함께 끔찍하게 살해된다오빠인 단영은 강에 빠졌고 단린은 살인을 사주한 부국주에게 구출되어 그의 수양딸로 자라난다은거고수 천태환에게 구해진 단영,하지만 그의 명을 끊을 때까지추적을 이어가는 부국주의 자객단영은 가까스로 사숙을 찾아 무술을 배우고본격적으로 복수행의 여정을 시작한다","처절한,압도되는,액션/무협,복수물",https://webtoon.kakao.com/content/%EB%8B%A8%EB%91%90-%E6%96%B7%E9%A0%AD/1825
소금물 방,kakaowebtoon,토돌이,영주,드라마,완결,2일마다 무료,9.4만,"4,352",52,3,2일마다 무료,"매일같이 깨지고, 혼나며 아등바등 살아가는 ‘소심’그녀가 힘든 사회 생활을 버틸 수 있는 건 ‘소금물 방’ 덕분이다나를 달래준 나만의 공간, <소금물 방>평화로운 ‘소금물 방’엔 어떤 말도 조용히 들어주는 친구, ‘윌리엄’이 살고 있다그러던 어느 날 자신과 너무 다른 강하나 대리를 만난 후부터‘소금물 방’에서 물이 새기 시작한다과연 소심은 다시 평화로워질 수 있을까?나를 달래준 나만의 공간, 소금물 방","공감되는,따뜻한,드라마,힐링물",https://webtoon.kakao.com/content/%EC%86%8C%EA%B8%88%EB%AC%BC-%EB%B0%A9/3625
단짠남녀,kakaowebtoon,이노우,근영,로맨스,완결,3시간마다 무료,1.5억,88.1만,153,16,3시간마다 무료,‘잘 먹던 여자’ 단아영‘못 먹는 남자’ 안찬희모두 각자의 애인으로부터아픔을 간직하고 있는 이들옆집 이웃이었지만 서로의 존재도모를 정도로 관심 없던 사이둘은 어쩐지 끼니 때만 되면마주치는 일도 잦아진다그리고 둘 사이의 감정도점점 깊어져만 가는데이 두 사람에게도 상처를 치유하고 맘 편히식사를 즐길 수 있는 날이 찾아올까?,"설레는,식욕을자극하는,로맨스,로맨틱코미디물",https://webtoon.kakao.com/content/%EB%8B%A8%EC%A7%A0%EB%82%A8%EB%85%80/1513
사랑하는 존재,kakaowebtoon,향유 크리에이티브,향유 크리에이티브,로맨스,완결,1일마다 무료,"5,814.6만",101.2만,139,8,1일마다 무료,"육상 유망주였으나 급성 심장병으로 모든 것을 잃은 소유시한부를 선고받지만 기적적으로 심장을 기증받아 살아난다쌓아왔던 것을 모두 잃어버리고 또래보다 1년 늦게 고등학교로 복귀하지만친구 관계도 꿈을 찾기도 쉽지는 않다그러다 2학년 새 학기, 교실에서 어떤 남자애를 보는 순간 갑자기 심장이 뛰고, 눈물이 날 것 같은데그날 밤 꿈에 만난 아저씨는자신이 바로 이식받은 심장의 주인이자 오늘 처음 본 남자애의 아빠라고 소개하는 것이 아닌가?아저씨의 아들인 재하는 가족을 모두 잃고 이 세상에 혼자라고소유는 아저씨의 부탁에 재하에게 응원의 메시지를 건네고,행동 하나하나로 텅 빈 소유의 삶에 소중한 사람들이 생겨난다삶의 이유, 관계, 꿈소유는 느리지만 하나둘씩 살아가는 방법을 배워나간다","설레는,귀여운,로맨스,청춘드라마",https://webtoon.kakao.com/content/%EC%82%AC%EB%9E%91%ED%95%98%EB%8A%94-%EC%A1%B4%EC%9E%AC/1998
무수리 문복자 후궁되다,kakaowebtoon,S.L.L,S.L.L,로맨스,완결,2일마다 무료,460.1만,13.7만,182,3,2일마다 무료,"방년 21세 무수리 문복자文福者, 목련향기 자욱한 봄밤 궁궐 한복판에서 조선의 임금 이결李結을 마주치다 “저는 평온하지 못합니다”“무엇이 평온하지 못하단 말이냐”“설레옵고, 심장이 뛰옵고, 숨이 막히는 것 같기에 그렇습니다”모든 궁녀들이 바라는 단 하나의 것, 승은 그 하늘같은 은혜가 무수리 문복자에게 주어졌다 평생 사랑이라고는 몰랐던 젊은 임금의 마음속에 평범하기 짝이 없는 여인 문복자가 들어왔다 “귀인 곁에는 좌의정이 있고, 성빈 곁에는 겸사복이 있지그리고 네 곁에는 내가 있다내가 가장 강한 자이니라 기죽어서는 아니 된다”비어있는 교태전 세 명의 후궁 임금의 크나큰 사랑은 가장 낮은 자리에 있던 여인을 이끄는데……처마 끝에 달빛이 걸리는 아름다운 처소 만월당에서 시작된,따사로운 봄밤 같은 궁궐 연애담 ","따뜻한,평온한,로맨스,암투물",https://webtoon.kakao.com/content/%EB%AC%B4%EC%88%98%EB%A6%AC-%EB%AC%B8%EB%B3%B5%EC%9E%90-%ED%9B%84%EA%B6%81%EB%90%98%EB%8B%A4/2914
그림자 미녀,kakaowebtoon,아흠,아흠,드라마,연재,화,702.9만,12.3만,128,129,연재 무료,"학교에서는 왕따 애진으로, 인터넷에선 70만 팔로워를 가진 SNS스타 지니의 아슬아슬한 이중생활이 시작된다","공감되는,몰입되는,드라마,성공성장물",https://webtoon.kakao.com/content/%EA%B7%B8%EB%A6%BC%EC%9E%90-%EB%AF%B8%EB%85%80/2345
악마의 편집,kakaowebtoon,건초,건초,공포/스릴러,완결,2일마다 무료,373.7만,3.6만,57,6,2일마다 무료,"'설이'의 인터넷 방송을 보는 게 유일한 삶의 행복인 '백희수' 우연히 그녀가 참가하는 '호러 특집'의 편집자로 일하게 된다 하지만 의도치 않게 호러 특집의 또 다른 참가자 '정우현'이 저지른 끔찍한 살인사건에 휘말리게 되는데희수는 우현으로부터 설이와 그녀의 방송을 지켜내기로 결심하지만, 호러 특집의 마지막 참가자 '한묘은'에 의해 사건은 예상치 못한 방향으로 흘러가기 시작한다 점점 밝혀지는 살인사건의 또 다른 진실희수는 과연 끝까지 설이를 지켜낼 수 있을까?","등골오싹한,미스테리한,공포/스릴러,범죄스릴러물",https://webtoon.kakao.com/content/%EC%95%85%EB%A7%88%EC%9D%98-%ED%8E%B8%EC%A7%91/2021
헬로 마이 안드로이드,kakaowebtoon,고선영,고선영,판타지 드라마,완결,3시간마다 무료,"1,102.5만",8.5만,79,7,3시간마다 무료,내 아들이라고 주장하는 소년이 나타났다 갑자기 시작되는 좌충우돌 SF 로맨스,"설레는,귀여운,판타지드라마,타임슬립",https://webtoon.kakao.com/content/%ED%97%AC%EB%A1%9C-%EB%A7%88%EC%9D%B4-%EC%95%88%EB%93%9C%EB%A1%9C%EC%9D%B4%EB%93%9C/1533
겟 레디 위드 미,kakaowebtoon,여은,여은,로맨스,완결,3시간마다 무료,"6,830.4만",36만,78,10,3시간마다 무료,"뷰티 크리에이터를 제안하는 지욱과, 관심 1도 없는 그림의 메이크업 로맨스","설레는,공감되는,로맨스,연애물",https://webtoon.kakao.com/content/%EA%B2%9F-%EB%A0%88%EB%94%94-%EC%9C%84%EB%93%9C-%EB%AF%B8/1526
일진의 크기,kakaowebtoon,윤필,주명,학원/판타지,완결,3시간마다 무료,7.6억,83.7만,108,8,3시간마다 무료,"화제의 작품 <일진의 크기>그 마지막 이야기, 파이널","통쾌한,궁금하게하는,학원/판타지,복수물",https://webtoon.kakao.com/content/%EC%9D%BC%EC%A7%84%EC%9D%98-%ED%81%AC%EA%B8%B0/1024
이태원 클라쓰,kakaowebtoon,광진,광진,드라마,완결,3시간마다 무료,3.5억,135.6만,84,10,3시간마다 무료,"각자의 가치관이 어우러지는 이 곳, '이태원' 이 거리를 살아가는 그들의 이야기","긴장감있는,몰입되는,드라마,성공성장물",https://webtoon.kakao.com/content/%EC%9D%B4%ED%83%9C%EC%9B%90-%ED%81%B4%EB%9D%BC%EC%93%B0/1338
가장 달콤한 엑소시즘,kakaowebtoon,서아,서아,드라마,완결,12시간마다 무료,7.3만,"2,008",90,8,12시간마다 무료,"첫사랑 재성 옆에 딱 붙어, 다가오는 여자들을 모조리 쳐내는 귀신 '니나'그런 그녀를 성불시키기 위해 찾아온 저승사자 '차돌'최고의 사신이라 불리는 그지만니나의 강한 집착 탓에 번번이 성불에 실패하고,그 과정에서 두 사람은 점점 정이 들게 되는데…거기다 서서히 드러나는 니나의 숨겨진 과거까지?그는 무사히 니나를 성불시킬 수 있을 것인가본격퇴마로맨스 <가장 달콤한 엑소시즘>","설레는,귀여운,드라마,로맨틱코미디물",https://webtoon.kakao.com/content/%EA%B0%80%EC%9E%A5-%EB%8B%AC%EC%BD%A4%ED%95%9C-%EC%97%91%EC%86%8C%EC%8B%9C%EC%A6%98/3646
계약 우정,kakaowebtoon,권라드,권라드,드라마,완결,15,"1,912.8만",11.8만,100,11,3시간마다 무료,두 고등학생의 '나'로 살아남기,"공감되는,몰입되는,드라마,성공성장물",https://webtoon.kakao.com/content/%EA%B3%84%EC%95%BD%EC%9A%B0%EC%A0%95/1454
더블랙LABEL,kakaowebtoon,김태희,김태희,드라마,완결,3시간마다 무료,"2,297.3만",18.5만,74,9,3시간마다 무료,굴지의 대기업 내 범죄조직 BLACK LABEL 구성원 대부분이 여성인 그 곳에서 벌어지는 여성 느와르,"몰입되는,압도되는,드라마,범죄스릴러물",https://webtoon.kakao.com/content/%EB%8D%94%EB%B8%94%EB%9E%99LABEL/1495
말하기엔 사소한,kakaowebtoon,라코,라코,드라마,완결,3시간마다 무료,"1,044만",29.6만,57,5,3시간마다 무료,"스물여덟 서점에서 일하는 우희는 섹스 중독이다현재는 서점에서 판매직으로 일하고 있지만이전 규모가 큰 회사에 다녔었고겉으로 보기엔 아무런 문제가 없다 그러나 우희의 마음속은 채우려 해도 채워지지 않는 구멍이 있고,항상 부족하다 느낀다 우희도 현재의 자신이 잘못됐음을 알고, 그런 자신이 싫다 문제의 원인이 무엇인지 누구보다 잘 알지만해결 방법을 몰라 자신을 괴롭히고 있다그저 행위를 반복하며 머릿속을 새하얗게비워줄 사람을 끊임없이 찾는다 그런 우희에게도 평범한 날들이 찾아올 수 있을까누군가 평범하게 우희를 좋아해 줄까","몰입되는,에로틱한,드라마,성장물",https://webtoon.kakao.com/content/%EB%A7%90%ED%95%98%EA%B8%B0%EC%97%94-%EC%82%AC%EC%86%8C%ED%95%9C/2939
20세 보고서,kakaowebtoon,YSE,YSE,드라마,완결,3시간마다 무료,"3,846.1만",23.6만,96,23,3시간마다 무료,이제 막 성인이 된 초보 20세들의 이야기,"공감되는,설레는,드라마,캠퍼스물",https://webtoon.kakao.com/content/20%EC%84%B8-%EB%B3%B4%EA%B3%A0%EC%84%9C/1352
소녀신선,kakaowebtoon,효미,효미,판타지 드라마,연재,금,1.8억,153.9만,232,116,3시간마다 무료,"재수생 하버들, 신선이 되어 성질 드러운 이무기 '꽝철이'와 만나다","환상적인,설레는,판타지드라마,옴니버스물",https://webtoon.kakao.com/content/%EC%86%8C%EB%85%80%EC%8B%A0%EC%84%A0/1304
취준진담,kakaowebtoon,쥐곰이,쥐곰이,드라마,완결,1일마다 무료,153.7만,7.5만,135,10,1일마다 무료,"청년실업 100만 시대 대학을 졸업했다는 이유만으로도 취업이 잘 되던 시절은 지났다 자소서, 직무적성검사, 면접에 능하며 학벌, 토익, 사회경험이 빵빵한 고스펙들만을 원하는 사회에서 대기업 입사를 목표로 모인 평범한 청년들의 눈물 나는 취업 스터디","공감되는,몰입되는,드라마,에피소드물",https://webtoon.kakao.com/content/%EC%B7%A8%EC%A4%80%EC%A7%84%EB%8B%B4/3180
그림형제 잔혹동화,kakaowebtoon,Crom,Crom,판타지 드라마,완결,3시간마다 무료,"8,674.2만",45.1만,133,12,3시간마다 무료,아름다운 그림형제의 동화 속 이야기들 그 동화의 잔혹한 비밀이 공개된다,"미스테리한,등골오싹한,판타지드라마,옴니버스물",https://webtoon.kakao.com/content/%EA%B7%B8%EB%A6%BC%ED%98%95%EC%A0%9C-%EC%9E%94%ED%98%B9%EB%8F%99%ED%99%94/1270
피그말리온 컴플렉스,kakaowebtoon,문미영,문미영,드라마,완결,3시간마다 무료,"4,147.9만",19.4만,89,17,3시간마다 무료,금수저 학교에 잠입한 고아 소매치기 소녀의 삼단변신(?)이 시작된다,"통쾌한,발랄한,드라마,캠퍼스물",https://webtoon.kakao.com/content/%ED%94%BC%EA%B7%B8%EB%A7%90%EB%A6%AC%EC%98%A8-%EC%BB%B4%ED%94%8C%EB%A0%89%EC%8A%A4/1332
소비러와 존잘님,kakaowebtoon,혜빈,혜빈,로맨스,시즌완결,화,50.7만,2.4만,37,38,연재 무료,"""덕질이 최고다 오타쿠 최고다…""모델급의 잘생긴 외모를 가진 '정우'는 겉보기엔 멀쩡한 일반인이지만SNS에서 '뫄뫄'라는 이름으로 활동하는 진성 오타쿠다우연한 계기로 정우는 덕질하는 장르의 존잘이자 '우주'라고 불리는 사람과 친분을 맺게 되고,'우주'로 활동하고 있는 '주인'은 '뫄뫄'를 귀여운 여성으로 생각하고 첫 만남을 고대하지만,막상 자신을 '뫄뫄'라고 소개하는 남자인 정우를 보고 당황한다'당연히 여자인 줄 알았는데 남자라고?'정우 또한 생각보다 귀여운 주인의 모습에 당황하지만자신의 취향인 주인을 볼 때마다 애정이 깊어지는 것을 느끼고주인도 예상보다 훈훈하고 다정한 모습을 가진 정우에게 호감을 가지게 되는데…""그런데도… 계속 저를 좋아할 수 있어요?""","귀여운,설레는,로맨스,힐링물",https://webtoon.kakao.com/content/%EC%86%8C%EB%B9%84%EB%9F%AC%EC%99%80-%EC%A1%B4%EC%9E%98%EB%8B%98/3267
기부림,kakaowebtoon,오름,오름,액션/무협,연재,토,21.4만,1.1만,50,51,연재 무료,' 어릴 땐 내가 매일 챙겨주던 놈이었는데' 소꿉친구 강복이의 셔틀이 되어버린 자현 학교만 가면 두들겨 맞고 돈도 뜯기는데 이젠 아침마다 강복이네 검도장 청소까지 한다 더는 못 참아 딱 한 대만 때릴 수 있다면 자현은 검도선수인 강복이에게 시합을 신청한다 처참한 결과가 어? 왜 나 한 대도 안 맞지?,"공감되는,역동적인,액션/무협,성공성장물",https://webtoon.kakao.com/content/%EA%B8%B0%EB%B6%80%EB%A6%BC/3689
치트라,kakaowebtoon,레페,레페,판타지 드라마,시즌완결,금,410.1만,20.2만,220,6,3시간마다 무료,공무원 준비 생활만 수 년그런데 이렇게 억울하게 죽다니 그래서일까요?죽었다 태어나니 아름다운 여백작이 되어 있었다심지어 미남신에게서 게임 능력까지 받게 되는데-‘뽑기?’캐릭터 뽑기 능력을 가지게 된 그녀 초 레어 미남 캐릭터를 뽑아가면서 세상을 널리 이롭게 하는 미남신의 사도가 되어버렸다 [레어-][초 슈퍼 울트라 스페셜 레어-] 세계를 미남으로 채워 모든 여자들을 이롭게 하자,"몰입되는,웃기는,판타지드라마,하렘물",https://webtoon.kakao.com/content/%EC%B9%98%ED%8A%B8%EB%9D%BC/2330
회귀로 초월하는 대마도사,kakaowebtoon,물장구,홍창주,판타지 드라마,연재,목,210.9만,8.5만,104,3,3시간마다 무료,"미하일 발푸르기스세계 유일의 9서클 대마도사하지만 빌어먹을 용사 때문에 패배했다그리고 마지막 순간 시전한 대마법<시간 역행>20년 전으로 돌아온 미하일이렇게 된 이상‘차라리 그 용사, 내가 한다’","몰입되는,역동적인,판타지드라마,레벨업물",https://webtoon.kakao.com/content/%ED%9A%8C%EA%B7%80%EB%A1%9C-%EC%B4%88%EC%9B%94%ED%95%98%EB%8A%94-%EB%8C%80%EB%A7%88%EB%8F%84%EC%82%AC/3039
폭군의 흑화를 막는 법,kakaowebtoon,이로,율,로맨스 판타지,완결,3시간마다 무료,143.3만,6.4만,110,3,3시간마다 무료,"회귀를 거듭하면서 나에겐 꿈을 먹는 능력이 생겼다악몽에 시달리다 흑화 해버리는 황제를 구하기엔 딱이다황제에게 악몽을 심는 흑막 하츠 가문,그 가문이 바로 내 가문이라는 것만 빼면 더 수월할 텐데흑막 가문의 엑스트라로서 분노한 황제에게 죽임당하길 여러 번이번 삶에서는 살기 위해 정체를 숨기고 직접 황제를 구해보는 거야""호, 혹시 도를 믿으십니까?""길에서 만난 그에게 접근하는 방법은 조금 독특했을지 몰라도""정신이 멍하고, 악몽인 듯하지만 기억나지 않는 꿈도 꾸고, 마치 어둠에 먹힐 것 같지 않나요?""""그런 것들이 도라는 걸 믿으면 좋아지나?""역시 '도를 믿으십니까'라는 이 세계에서도 뿌리치기 어렵다니까자, 저만 믿고 따라오세요","설레는,에로틱한,로맨스판타지,회귀물",https://webtoon.kakao.com/content/%ED%8F%AD%EA%B5%B0%EC%9D%98-%ED%9D%91%ED%99%94%EB%A5%BC-%EB%A7%89%EB%8A%94-%EB%B2%95/3150
히든 플레이어,kakaowebtoon,나무나래,나무나래,학원/판타지,연재,수,106.9만,2.3만,74,75,연재 무료,"사랑하는 사람을 잃고도 아무것도 할 수 없었던 준혁은우주의 창조자를 만난다""복수를 원하나? 그렇다면 먹어라""상대의 능력을 먹어치워 자신의 것으로 만들 수 있는강력한 히든 스킬 '포식'을 얻은 준혁그는 피로 얼룩진 진혼곡을 써 내려가기 시작한다그 끝에 무엇이 기다리고 있는지도 알지 못한 채","역동적인,압도되는,학원/판타지,복수물",https://webtoon.kakao.com/content/%ED%9E%88%EB%93%A0-%ED%94%8C%EB%A0%88%EC%9D%B4%EC%96%B4/3064
신과 함께 레벨업,kakaowebtoon,오현,오현,액션/무협,연재,수,"1,092.7만",35.9만,113,3,3시간마다 무료,"이계의 신, 아우터 갓(Outer God)하늘을 닫는 절망과 늪에 빠진 좌절, 탄생하지 못한 자, 어리석은 혼돈평범한 사람들은 그저 바라보는 것만으로 목숨을 잃어 버릴 그 존재들이 세상을 휘젓는 지금…수 년간의 싸움 끝에, 최후의 생존자들이 낸 결론""이너(Inner)는 아우터(Outer)를 이길 수 없다""그 순간, 시간을 다루는 신격을 지닌 존재 크로노스는 자신을 희생시켜 시계태엽을 되돌린다""이길 수 없겠지 지금은 말이야""""옛 세계선으로 돌아가라 그리고 다시 시작해""모든 신들에게 지목을 받아 과거로 돌아간 최후의 1인가장 뒤늦게 탑을 올라, 가장 마지막까지 신들과 함께 싸운 인간, 김유원""이너(Inner)는 아우터(Outer)를 이길 수 없다 그렇다면…""""이기는 건 나야""그는 마지막 순간을 함께하던 동료들을 다시 모아,아우터와의 싸움을 승리로 끝낼 수 있을까?","압도되는,몰입되는,액션/무협,레벨업물",https://webtoon.kakao.com/content/%EC%8B%A0%EA%B3%BC-%ED%95%A8%EA%BB%98-%EB%A0%88%EB%B2%A8%EC%97%85/2708
내 딸은 최종 보스,kakaowebtoon,RK STUDIO,RK STUDIO,판타지 드라마,연재,수,402.3만,20.4만,125,3,3시간마다 무료,"내 딸이 세상을 멸망시켰다엇나감의 끝에서, 나는 무력하게 죽음을 맞이했다다시 눈을 떴을 때, 내 눈앞에는 다섯 살의 딸이 있었다<고유 퀘스트 : 미래 바꾸기>이설아의 다섯 가지 불행을 막으십시오(0/5)다시 한번 주어진 기회잘못 키우면, 세상이 멸망한다","압도되는,귀여운,판타지드라마,회귀물",https://webtoon.kakao.com/content/%EB%82%B4-%EB%94%B8%EC%9D%80-%EC%B5%9C%EC%A2%85-%EB%B3%B4%EC%8A%A4/2964
흑막 남편과의 이혼에 실패한 것 같다,kakaowebtoon,교르,순진무구,로맨스 판타지,연재,수,462.5만,15.4만,87,3,3시간마다 무료,"미래에 나라를 흔들게 될 흑막과 결혼하게 되었다?나는 아무래도 소설 <운명을 지키는 방법>의 악역 엘린 자하드에 빙의한 게 맞는 것 같다원작에서의 그녀는 열 살에 결혼한 남편, 에이든 리안스터에게 엄청나게 집착하고 끝내는에이든의 애인 율리아 샤르트 살해 미수 혐의로 사형을 당하게 되는 인물하지만 나는 굳이 악역을 자처하고 싶지 않아에이든과는 친구 사이로 지내다가 스무 살이 되면 빠르게 이혼 도장을 찍고 외국에서 행복하게 살아주겠어…그런데? 어라?나는 그저 에이든을 조금 귀여워했을 뿐인데, 에이든이 나를 좋아하는 것 같아 열 살에 정략결혼한 두 사람의 알콩달콩 신혼 로맨스♥","귀여운,설레는,로맨스판타지,로맨틱코미디물",https://webtoon.kakao.com/content/%ED%9D%91%EB%A7%89-%EB%82%A8%ED%8E%B8%EA%B3%BC%EC%9D%98-%EC%9D%B4%ED%98%BC%EC%97%90-%EC%8B%A4%ED%8C%A8%ED%95%9C-%EA%B2%83-%EA%B0%99%EB%8B%A4/3471
이계 검왕 생존기,kakaowebtoon,권순규,"스튜디오 크힛, 권순규",학원/판타지,연재,수,"2,125.9만",68만,206,4,3시간마다 무료,"『귀하는 적합자로 선택받았습니다』  『귀하의 재능으로 셀하 라트나에서 생존할 확률은 5% 미만입니다』  『자살하시겠습니까? Y/N』  “x-까”  5% 미만의 생존 확률 22년의 시간 셀 수도 없는 마견과의 사투 이 지옥에서, 나는 홀로 살아남았다  5라는 레벨 뒤에 감춰진, 무지막지한 히든 스탯들과 함께  대검 하나로 이계를 썰어버리는, 사상 최강의 레벨5 검사 류한빈의 극한 사이다 생존기","역동적인,웃기는,학원/판타지,레벨업물",https://webtoon.kakao.com/content/%EC%9D%B4%EA%B3%84-%EA%B2%80%EC%99%95-%EC%83%9D%EC%A1%B4%EA%B8%B0/2363
내 행운은 만렙이다,kakaowebtoon,kamille,kamille,판타지 드라마,연재,수,77.8만,3.5만,115,3,3시간마다 무료,"최악의 난이도를 자랑하는 가상현실 게임 <세상의 끝>한때 최상위권 유저였던, 한성그런데 게임 속에 갇혀 버렸다부족한 현재 능력치로는 살아남긴 힘들다하지만, 한성은 바로 운빨 만렙랜덤 박스를 까면 SSS급 스킬은 기본슬롯머신을 돌리면 잭팟운이라는 것이 폭발한다과연, 이한성은 이 운빨 망겜을 무사히 클리어 할 수 있을까?","역동적인,몰입되는,판타지드라마,레벨업물",https://webtoon.kakao.com/content/%EB%82%B4-%ED%96%89%EC%9A%B4%EC%9D%80-%EB%A7%8C%EB%A0%99%EC%9D%B4%EB%8B%A4/3048
뽑기로 강해진 10성급 플레이어,kakaowebtoon,ICHO,ICHO,판타지 드라마,연재,수,61.1만,1.8만,72,4,3시간마다 무료,"세계 최고의 가상 현실 게임 라스트 세이비어그 게임에선 모든 유저가 자신과 함께할 '배후령'을 선택해야 한다배후령의 등급은 1성부터 9성까지당연하게도 모든 유저가 최고의 등급인 9성을 원한다그런데 내 배후령 등급이 이상하다[이게 도대체 무슨 일이냐?]""그러게요""그것도 아주 많이 이상했다","통쾌한,웃기는,판타지드라마,성공성장물",https://webtoon.kakao.com/content/%EB%BD%91%EA%B8%B0%EB%A1%9C-%EA%B0%95%ED%95%B4%EC%A7%84-10%EC%84%B1%EA%B8%89-%ED%94%8C%EB%A0%88%EC%9D%B4%EC%96%B4/3491
겹사돈 사기단,kakaowebtoon,오마토,하느현,로맨스,시즌완결,수,24.8만,"9,003",47,3,1일마다 무료,"부모님의 만두 가게를 도우며 열심히 살던 지우 어느 날, 그녀에게 쌍둥이 동생의 폭탄선언이 떨어진다“나, 결혼했어”남친 부모님이 반대하신다는 이유로 양가 부모님에게 언질도 없이 혼인 신고를 한 동생, 지아지우는 머리가 아프지만 사랑하는 동생을 위해 양가 부모님을 설득시키는 쪽으로 노선을 잡는다다행히 지아의 남편과 그의 형도 부모님을 설득시킬 의사가 있다고 하여, 네 명은 얼굴을 맞대고 대책을 논의하기로 한다그러나, 회의 장소에서 지우는 잊을 수 없는 얼굴을 발견한다 대학 시절 사귀었던 첫사랑, 문경이 동생의 남편의 형으로 등장해 있는 것게다가 문경은 아무렇지도 않게 지우에게 플러팅을 날리니, 지우는 점점 마음이 심란해져만 가는데…네 사람은 과연 성공적으로 부모님의 마음을 돌리고, 겹사돈이 될 것인가","귀여운,발랄한,로맨스,로맨틱코미디물",https://webtoon.kakao.com/content/%EA%B2%B9%EC%82%AC%EB%8F%88-%EC%82%AC%EA%B8%B0%EB%8B%A8/3670
